batch_id,linea_produzione,temperatura_forno,pressione_estrusione,velocita_nastro,umidita_ambiente,tipo_materiale,tempo_ciclo_produzione,peso_campione,difettosita,costo_produzione
1,C,235.68326937969516,198.94790045076536,19.133168716788195,60.5,Polimero B,60.0,483.0,1.3599115341156423,1063.7412533357235
2,A,302.43554645633384,172.50947925593138,14.067864575853836,47.4,Polimero A,53.3,524.6,0.1542967993895149,198.31231474017554
3,C,206.53642631259413,199.28408976453935,12.508392693930702,25.4,Polimero B,53.2,461.2,0.0,-319.7111360213594
4,C,284.9732453974879,145.2324332476576,11.381249554297572,51.4,Polimero A,40.6,499.0,2.6887566745931464,331.80771958187376
5,A,215.71511397526558,212.14726519528807,10.789236592195362,47.5,Polimero A,51.7,504.6,0.0,-37.96433116873173
6,A,228.9371696152817,145.46918261485655,16.169024093728254,49.9,Polimero C,40.1,528.8,-0.6397807592943681,61.223336516507594
7,C,256.6481722109224,205.84162358176465,9.913689597138752,67.5,Polimero B,43.9,459.1,0.0,415.3755245389672
8,B,565.0178680369734,141.56496548144196,18.83107285685518,42.4,Polimero B,50.7,449.8,1.1928908028669198,449.45660619386297
9,C,289.5836530000853,221.67388827615105,14.651497586581371,29.5,Polimero B,45.9,502.5,1.1274697250539645,148.79079641965208
10,C,249.83136478232717,180.52131547947513,13.955576881481395,57.7,Polimero A,48.2,510.4,0.0,1292.501043924239
11,C,265.57057870566746,160.77144969539086,14.528043340706624,27.2,Polimero C,58.1,499.7,-0.0,-446.90140339429075
12,C,281.38965425846425,219.2262578809121,16.54014496157011,37.5,Polimero A,41.4,364.3,0.0,492.3997407552616
13,A,226.54567393964007,156.7744798462704,13.904415894114738,45.4,Polimero C,34.6,516.6,4.380288983919023,157.97059188414983
14,C,285.0671606569166,172.414107468048,14.52095428283641,36.0,Polimero A,35.9,628.4,0.0,1047.046684027616
15,B,285.9320070932314,235.53464756307127,18.62803262472822,44.4,Polimero B,33.8,545.9,2.3441529588112893,479.209409287893
16,A,220.44344724138313,189.5084004994615,15.494124473236974,43.6,Polimero A,61.1,402.2,0.0,-25.098935716343604
17,B,291.9425683206209,141.1709286383428,11.282386231285386,60.4,Polimero B,51.5,479.7,1.7595050965264618,57.772323118278365
18,B,216.91624312089738,174.3202848913471,12.86981933147532,20.8,Polimero C,55.7,490.2,0.0,597.5473314883892
19,B,252.92379678248997,174.0891166913569,9.635250782604965,45.9,Polimero B,53.9,484.0,0.0,-910.719972316697
20,B,235.46786067782526,178.78865732299266,16.947088726626266,35.8,Polimero B,43.0,438.1,-0.0,444.0593164141517
21,A,278.4075261626346,178.22004503683505,17.263278201026196,39.4,Polimero B,61.3,455.3,0.0,1464.4341170125358
22,A,275.07820987114906,192.80676917514347,12.443897716427752,51.8,Polimero B,38.1,546.7,0.0,750.7984859475679
23,B,297.63969289271563,146.59105870276403,21.549931032695184,50.2,Polimero C,65.1,537.4,0.28338379554726567,1058.4897365060174
24,B,293.88799917312724,168.32900113107647,22.977802518328435,48.4,Polimero A,46.2,494.4,0.5192544072822181,-1.1182235237452187
25,A,233.33082311615027,186.8432471165501,14.984390308274339,32.4,Polimero A,62.9,547.4,0.0,1209.6131427153387
26,A,220.19827637391987,163.22182089958775,12.684793298118363,56.9,Polimero A,34.5,467.2,0.0,-164.12570671592135
27,A,258.0547424399106,201.9148409001253,15.739014768319295,36.2,Polimero A,40.7,482.9,-0.0,374.3030892776731
28,C,237.7072662466605,165.97610340721184,12.523971250850947,58.9,Polimero B,29.0,481.8,0.0,769.3326331504944
29,C,295.91571609515086,183.50765113733354,17.741828006398965,38.5,Polimero C,55.4,422.4,1.0950324385119132,413.54859238691813
30,C,198.61283874244177,177.09359544912368,15.560855550406881,55.3,Polimero C,47.5,487.2,0.0,94.19890127798868
31,B,311.33504001115153,158.03171924126562,15.871533475634262,46.0,Polimero A,65.2,581.9,-0.09144891578823877,870.4208541941712
32,C,261.0052924227579,181.99716374622483,19.589811942230334,28.3,Polimero A,40.2,576.4,-0.46232856177818915,1044.124883559619
33,B,237.82241983333924,154.48246706029184,13.00284905758596,41.4,Polimero C,58.4,505.9,2.0664543595624947,691.8293750180089
34,B,268.936068153296,171.68361356811923,13.191603151653826,62.0,Polimero C,45.8,489.1,0.0,689.922542704342
35,C,278.5069430995548,180.83039629822136,18.2863354386882,53.2,Polimero B,44.1,588.4,0.4124828963356747,300.2476332647379
36,B,247.63207745473588,152.18446548176746,13.954321373100049,40.6,Polimero C,42.1,487.7,1.2906915488103907,-322.8059807274647
37,C,189.55007491082603,194.26469533092586,20.24356470821933,58.0,Polimero C,36.5,474.1,1.3365357078433882,113.87510676737642
38,C,252.30076021200694,185.82370903074892,18.16503377512837,47.8,Polimero B,48.7,547.9,-0.0,1042.6270288575395
39,A,284.6651813754709,190.79665577460005,13.924353012150718,61.4,Polimero B,47.1,414.4,0.0,814.652748791313
40,C,286.53746092969106,178.9398123444466,9.707680617355088,44.2,Polimero B,29.3,494.5,0.0,601.8466851871117
41,A,243.3409114367574,159.78876527401954,10.932061341297832,42.1,Polimero C,19.9,496.7,0.5634194058610871,1082.6502827812585
42,C,277.2019896423439,177.74014739287108,14.11750657069536,54.9,Polimero C,41.9,525.8,-0.11475060375450252,378.9811053577394
43,C,254.47090847187542,192.0919314559858,16.2893159442708,47.5,Polimero C,56.6,470.4,-0.0,793.7537525546601
44,A,278.31535024211405,155.17560489875243,18.115800397985705,50.6,Polimero B,47.2,491.5,1.790796490964335,140.68962780187462
45,A,245.71774414561284,154.12336965402207,14.573394828905887,36.4,Polimero C,32.0,504.7,0.8274740053273195,-132.33825795900512
46,C,250.09511686974054,175.8119681372069,12.047718140803072,56.7,Polimero C,27.3,487.3,0.0,611.132170224873
47,B,199.9418781166335,172.19098180030912,14.715439929644893,54.8,Polimero B,56.5,490.7,0.0,615.6317964244167
48,A,249.40675327396525,179.76414342221068,15.301463139639736,58.5,Polimero A,28.5,541.6,0.0,534.0312239213952
49,B,269.0955428395381,173.84015289286614,18.86804213601709,31.4,Polimero A,52.6,529.0,0.22763660655500384,-638.8994116227786
50,B,255.9795387461222,184.7157983843541,18.43244637417518,33.4,Polimero C,50.7,525.9,-0.7463374692298406,137.24295214214848
51,B,265.52133260102875,206.17374927047317,11.865590102375023,37.5,Polimero B,61.3,417.8,-0.0,627.2113170315141
