customer_id,age,primary_category,device_type,average_basket_value,purchases_per_month,time_on_site_minutes,discount_sensitivity,loyalty_program_member,holiday_purchase_likelihood,estimated_holiday_spending
221958,68,Electronics,Mobile,520.4420263302512,7,7.6,0.2192701856242737,0,0,480.2573229401028
771155,39,Beauty,Mobile,235.01,1,13.4,0.0,1,0,112.062036329674
231932,64,Beauty,Mobile,78.73,2,22.9,0.24467200711804582,0,0,281.6267965984053
465838,21,Sporting Goods,Desktop,139.59,8,21.8,0.9061647476442601,1,0,1176.3538027420448
359178,45,Books,Tablet,121.48,1,6.6,0.3557702222962008,0,0,9.362102970565443
744167,29,Electronics,Desktop,172.35,2,16.5,0.5869742639125242,0,0,395.7336705958275
210268,55,Clothing,Desktop,130.15,1,21.5,0.5387306585816244,1,0,295.4095022533912
832180,68,Sporting Goods,Desktop,83.68,5,5.6,0.26283087357517393,1,0,188.37546035179918
154886,53,Clothing,Mobile,61.75,7,16.4,0.43619542949919665,0,0,391.1587313118247
237337,64,Toys,Tablet,657.2699619877565,6,27.1,0.862077172257015,1,1,-290.5225731896887
621430,58,Books,Desktop,65.81,6,12.6,0.9125423757182501,1,0,279.71449371804414
187498,22,Home & Kitchen,Desktop,179.19,6,-5.2,0.0,0,1,1552.4534567113928
999159,30,Clothing,Tablet,147.66,8,-10.2,0.7518010571900182,1,0,-63.35000571788112
275203,40,Sporting Goods,Tablet,124.34,5,18.1,0.44145426737834204,0,0,-67.48739652643765
291335,67,Books,Tablet,54.39,7,16.1,0.0,1,0,195.4058116511523
378167,47,Electronics,Mobile,153.77,3,16.9,0.39586519958869626,0,0,227.52953772873596
141090,54,Sporting Goods,Tablet,200.84,9,19.9,0.295953269810487,0,1,537.7407793065644
429365,42,Toys,Mobile,98.75,3,0.2,0.6028949419366307,1,0,694.6265162048247
164820,65,Beauty,Desktop,82.9,6,6.9,0.3665243180750663,0,0,43.99133397080157
887201,44,Electronics,Mobile,115.4,3,19.2,0.5678744176520827,0,0,38.47813483973871
421879,68,Clothing,Tablet,143.35,1,22.4,0.7365340403562931,1,0,-15.59462632720557
818315,31,Clothing,Mobile,93.44,1,12.4,0.34496279561489746,1,0,-25.234731434799656
427069,65,Electronics,Tablet,164.96,3,0.7,0.5729125858731166,0,0,667.3886882367312
876997,64,Clothing,Mobile,215.54,4,18.4,0.42386026046052205,0,0,214.80874666617933
299041,53,Sporting Goods,Desktop,136.51,2,15.5,0.3805466314738793,1,0,323.29509350677796
891743,56,Books,Mobile,103.75,9,4.4,0.9868486586459044,0,0,-195.1368461953853
203355,33,Clothing,Desktop,142.0,8,-4.8,0.5526668037548126,0,0,-60.045063337402986
335796,39,Toys,Tablet,178.86,3,20.7,0.36236882483017807,0,0,-547.1744623458696
314176,38,Books,Desktop,127.98,7,8.8,1.0,0,0,1067.3289020493091
284779,38,Sporting Goods,Tablet,144.25,4,16.9,0.708909257242793,0,0,360.12623430634426
447449,25,Home & Kitchen,Tablet,155.24,5,16.5,0.3594762309010385,1,1,-492.3874544810602
521909,66,Clothing,Desktop,312.3052521648011,4,3.5,0.19455141317248376,1,0,-91.64208022428471
358795,33,Clothing,Desktop,142.96,9,19.2,0.10164678077103514,0,0,-20.28624235685551
586232,48,Toys,Mobile,52.9,7,6.4,0.4843934246272816,0,0,170.3479135088749
600186,59,Sporting Goods,Mobile,87.08,4,0.0,0.5915237679294987,0,0,390.0995598700607
256730,27,Toys,Desktop,177.28,8,-1.2,0.0,0,1,-150.31667726292292
970910,49,Beauty,Desktop,163.55,2,15.0,0.3777217856731835,0,0,163.69424195709
484681,51,Sporting Goods,Desktop,106.49,7,30.9,0.7560362149897032,1,0,688.4214446889684
249503,26,Electronics,Desktop,205.29,1,15.4,0.8285280964437647,0,0,341.0516520027593
